Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
DIV.TO,Diversified Royalty Corp.,Industrials,4.5183e-11,3.7280999999999995e-11,3.0495999999999996e-11
DFN.TO,Dividend 15 Split Corp.,Financial Services,6.303046299999999e-11,2.3754019e-10,-6.3194188e-11
DF.TO,Dividend 15 Split Corp. II,Financial Services,9.97376e-12,4.4940049e-11,-1.4587934e-11
DGS.TO,Dividend Growth Split Corp.,Financial Services,-8.188468e-12,1.35028434e-10,-1.5358373e-11
DS.TO,Dividend Select 15 Corp.,Financial Services,1.024166e-12,1.1724726e-11,-4.352237e-12
DCBO.TO,Docebo Inc.,Technology,1.42912e-10,1.0424200000000001e-10,6.291700000000001e-11
DOL.TO,Dollarama Inc.,Consumer Defensive,5.052741e-09,4.330761000000001e-09,4.026259e-09
DBM.TO,Doman Building Materials Group Ltd.,Industrials,3.0390169999999996e-09,2.543674e-09,1.6138040000000002e-09
DLCG.TO,Dominion Lending Centres Inc.,Financial Services,7.072e-11,7.8816e-11,5.2412999999999996e-11
DII-B.TO,Dorel Industries Inc.,Consumer Cyclical,1.570274e-09,1.7587049999999999e-09,1.717702e-09
DRM.TO,Dream Unlimited Corp.,Real Estate,3.43768e-10,3.25922e-10,3.4762299999999996e-10
DC-A.TO,Dundee Corporation,Basic Materials,8.654000000000001e-12,1.1598000000000001e-11,1.8009e-11
DPM.TO,Dundee Precious Metals Inc.,Basic Materials,5.69795e-10,6.41443e-10,6.09558e-10
DND.TO,Dye & Durham Limited,Technology,4.51105e-10,4.74808e-10,2.08945e-10
DYA.TO,dynaCERT Inc.,Industrials,1.1490610000000001e-12,7.570019999999999e-13,4.676100000000001e-13
DNG.TO,Dynacor Group Inc.,Basic Materials,1.9754530899999998e-10,1.9590629799999997e-10,1.01532815e-10
DR.TO,Medical Facilities Corporation,Healthcare,4.24551e-10,3.9863299999999997e-10,3.6385399999999997e-10
DIAM.TO,Star Diamond Corporation,Basic Materials,0.0,0.0,0.0
ENS.TO,E Split Corp.,Financial Services,5.070331e-11,4.1638818e-11,-1.2195857999999999e-11
ELF.TO,E-L Financial Corporation Limited,Financial Services,-7.06984e-10,2.323627e-09,2.5648989999999998e-09
ELR.TO,Eastern Platinum Limited,Basic Materials,4.9834000000000006e-11,6.8198e-11,5.6143e-11
ECN.TO,ECN Capital Corp.,Financial Services,1.9667099999999999e-10,1.19743e-10,1.46623e-10
ECRAF,Ecora Resources PLC,Basic Materials,1.4187e-10,8.5295e-11,4.365400000000001e-11
ECO.TO,EcoSynthetix Inc.,Basic Materials,1.9034526e-11,1.8161891e-11,1.3662711e-11
ELD.TO,Eldorado Gold Corporation,Basic Materials,8.71461e-10,9.43474e-10,1.0266849999999997e-09
EFN.TO,Element Fleet Management Corp.,Industrials,1.9598179999999997e-09,1.662486e-09,1.77032e-09
ELO.TO,Eloro Resources Ltd.,Basic Materials,0.0,0.0,0.0
EMA.TO,Emera Incorporated,Utilities,7.588e-09,5.765e-09,5.506e-09
EMP-A.TO,Empire Company Limited,Consumer Defensive,3.0478099999999995e-08,3.0162400000000004e-08,2.82683e-08
